id,r,rInv,n,Component,TaskClass,TrialwiseFeedback,MeanAge,PctFemale,Continuous,Year,Adult,ERN,FRN,N2,N2_adult,N2_kids,ERN_Stim,FRN_N2,Order,ERN.FRN,ERN.N2,FRN.N2
McDermott_2009,0.302632239,-0.302632239,82,ERN,Conflict,0,15.1,0.548780488,0,2009,0,1,0,0,0,0,1,0,1,1,1,0
Moadab_2010e,0.295191789,-0.295191789,68,ERN,Conflict,1,11.58,0.506666667,1,2010,0,2,0,0,0,0,1,0,2,2,2,0
Moser_2012,0.28,-0.28,67,ERN,Conflict,0,19.52,1,1,2012,1,3,0,0,0,0,1,0,3,3,3,0
Meyer_2012,-0.06,0.06,55,ERN,Conflict,0,10.95,0.436363636,1,2012,0,4,0,0,0,0,1,0,4,4,4,0
Cavanagh_2008,0.24,-0.24,55,ERN,Conflict,1,20.5,0.509090909,1,2008,1,5,0,0,0,0,1,0,5,5,5,0
Hajcak_2004,0.364060218,-0.364060218,45,ERN,Conflict,0,20,0.5,0,2004,1,6,0,0,0,0,1,0,6,6,6,0
Luu_2000,-0.36,0.36,42,ERN,Conflict,1,21,0.523809524,1,2000,1,7,0,0,0,0,1,0,7,7,7,0
Santesso_2009,0.277475488,-0.277475488,41,ERN,Conflict,0,18.52,0,1,2009,1,8,0,0,0,0,1,0,8,8,8,0
Amodio_2008e,0.35,-0.35,40,ERN,Conflict,1,20,0.666666667,1,2008,1,9,0,0,0,0,1,0,9,9,9,0
Santesso_2005,0.08,-0.08,39,ERN,Conflict,0,10.2,0.58974359,1,2005,0,10,0,0,0,0,1,0,10,10,10,0
Santesso_2006,0.19,-0.19,37,ERN,Conflict,0,10.2,0.567567568,1,2006,0,11,0,0,0,0,1,0,11,11,11,0
Chang_2010,0.5,-0.5,32,ERN,Conflict,0,23.68,0.5,1,2010,1,12,0,0,0,0,1,0,12,12,12,0
Aarts_2010,0.257564901,-0.257564901,32,ERN,Conflict,1,18.81,0.875,0,2010,1,13,0,0,0,0,1,0,13,13,13,0
Olvet_2009b,0.37,-0.37,29,ERN,Conflict,0,20,0.379310345,1,2009,1,14,0,0,0,0,1,0,14,14,14,0
Olvet_2009a,0.37,-0.37,29,ERN,Conflict,1,20,0.379310345,1,2009,1,15,0,0,0,0,1,0,15,15,15,0
Riesel_2012,0.42,-0.42,28,ERN,Conflict,0,19.79,0.714285714,1,2012,1,16,0,0,0,0,1,0,16,16,16,0
Boksem_2006e,0.523333333,-0.523333333,24,ERN,Conflict,0,20,1,1,2006,1,17,0,0,0,0,1,0,17,17,17,0
Olvet_2010,-0.06,0.06,22,ERN,Conflict,0,38.86,0.682,1,2010,1,18,0,0,0,0,1,0,18,18,18,0
Stern_2010,0.49,-0.49,21,ERN,Conflict,1,25.3,0.476190476,1,2010,1,19,0,0,0,0,1,0,19,19,19,0
South_2010,0.28,-0.28,21,ERN,Conflict,0,14.23,0.047619048,1,2010,0,20,0,0,0,0,1,0,20,20,20,0
Larson_2009,-0.05,0.05,20,ERN,Conflict,0,26.1,0.523809524,1,2009,1,21,0,0,0,0,1,0,21,21,21,0
Yasuda_2004,0.825,-0.825,18,ERN,Probabilistic,1,25.1,0.444444444,1,2004,1,22,0,0,0,0,1,0,22,22,22,0
Pailing_2004,0.74,-0.74,18,ERN,Conflict,1,19.94,0.722222222,1,2004,1,23,0,0,0,0,1,0,23,23,23,0
Chiu_2007,0,0,17,ERN,Conflict,1,37.9,0.411764706,1,2007,1,24,0,0,0,0,1,0,24,24,24,0
Ladouceur_2010e,0.4,-0.4,16,ERN,Conflict,0,13,0.375,1,2010,0,25,0,0,0,0,1,0,25,25,25,0
Schellekens_2010,0,0,15,ERN,Conflict,1,44,0,1,2010,1,26,0,0,0,0,1,0,26,26,26,0
Brooker_2011,0.153333333,-0.153333333,15,ERN,Conflict,0,5.731666667,0.333333333,1,2011,0,27,0,0,0,0,1,0,27,27,27,0
Boksem_2008,0.63,-0.63,14,ERN,Conflict,1,21.8,0.586206897,1,2008,1,28,0,0,0,0,1,0,28,28,28,0
